NOME_MUNICIPIO,CODIGO,GENTILICO,PREFEITO2017,AREA,POPESTIMADA,DENSIDADE,ESCOLARIZACAO,IDHM,MORTALIDADE,RECEITAS,DESPESAS,PIB
Acorizal,5100102,acorizano,CLODOALDO MONTEIRO DA SILVA,1014.029,5424,6.56,96.6,0.628,16.13,NaN,NaN,13362.95
Água Boa,5100201,água-boense,MAURO ROSA DA SILVA,7510.635,25229,2.79,99.2,0.729,10.23,92166.40674,81874.15633,37449.63
Alta Floresta,5100250,alta-florestense,ASIEL BEZERRA DE ARAUJO,8953.191,51615,5.48,98,0.714,19.19,146439.79095,118288.0181,31623.80
Alto Araguaia,5100300,araguaiano,GUSTAVO DE MELO ANICEZIO,5399.326,18703,2.84,96.7,0.704,9.09,63035.52537,55216.26966,50298.54
Alto Boa Vista,5100359,alto boa vistense,VALTUIR CANDIDO DA SILVA,2240.438,6659,2.34,96.8,0.651,37.04,23227.7278,20002.89582,16877.29
Alto Garças,5100409,alto-garcense,CLAUDINEI SINGOLANO,3865.971,11868,2.76,98,0.701,13.99,34498.41259,33495.48719,51515.18
Alto Paraguai,5100508,alto-paraguaiense,DIANE VIEIRA VASCONCELOS ALVES,1844.817,11238,5.45,95.4,0.638,10.64,21877.67692,20862.9311,10060.57
Alto Taquari,5100607,taquariense,FÁBIO MAURI GARBUGIO,1440.399,10557,5.70,98.3,0.705,6.13,53111.83829,42129.4395,104237.70
Apiacás,5100805,apiacaense,ADALTO JOSE ZAGO,20493.065,9979,0.42,95,0.675,7.81,37080.76693,29954.72985,13872.22
Araguaiana,5101001,araguaianense,GETULIO DUTRA VIEIRA NETO,6422.966,3119,0.50,98.3,0.687,34.48,20686.02484,18850.71333,23880.40
Araguainha,5101209,araguainhense,SILVIO JOSÉ DE MORAIS FILHO,688.326,956,1.59,98.1,0.701,125.00,11893.20692,10486.89734,19395.16
Araputanga,5101258,araputanguense,JOEL MARINS DE CARVALHO,1610.076,16690,9.59,97.5,0.725,7.49,44237.566,38292.86911,25725.30
Arenápolis,5101308,arenapolitano,JOSÉ MAURO FIGUEIREDO,415.585,9714,24.75,98.4,0.704,13.25,23259.33919,22845.12577,17256.01
Aripuanã,5101407,aripuanense,JONAS RODRIGUES DA SILVA,25107.968,21987,0.74,92.7,0.675,27.62,73846.51825,64237.72515,32753.74
Barão de Melgaço,5101605,melgaciano,ELVIO DE SOUZA QUEIROZ,11427.740,8563,0.68,86.3,0.600,13.16,17688.07082,15363.44699,11066.77
Barra do Bugres,5101704,barrense,RAIMUNDO NONATO DE ABREU SOBRINHO,5981.569,34619,5.25,96.9,0.693,11.39,91644.52786,77014.0037,35540.00
Barra do Garças,5101803,barra-garcense,ROBERTO ANGELO DE FARIAS,9079.291,60661,6.23,96.3,0.748,24.23,178792.01874,161169.9242,29773.13
Bom Jesus do Araguaia,5101852,bom-jesuense,JOEL FERREIRA,4274.218,6452,1.24,97.2,0.661,16.81,24980.09881,20985.77682,42323.80
Brasnorte,5101902,brasnortense,MAURO RUI HEISLER,15959.135,19248,0.96,96,0.696,15.63,66422.24997,57804.40642,44624.75
Cáceres,5102504,cacerense,FRANCIS MARIS CRUZ,24593.123,93882,3.61,97.8,0.708,16.59,205608.35959,185749.47788,18911.20
Campinápolis,5102603,campinapolense,JEOVAN FARIA,5981.707,15830,2.40,81.9,0.538,33.86,54803.76761,47101.39651,16932.06
Campo Novo do Parecis,5102637,campo-novense,RAFAEL MACHADO,9434.572,34558,2.92,97.8,0.734,5.43,165989.41064,130149.8666,86709.75
Campo Verde,5102678,campo-verdense,FABIO SCHROETER,5394.764,42871,6.61,98.1,0.750,8.92,143947.41268,131414.62139,60604.23
Campos de Júlio,5102686,campo juliense,JOSE ODIL DA SILVA,6787.282,6710,0.76,97.9,0.744,7.41,50917.04439,46033.36262,202309.42
Canabrava do Norte,5102694,canabravense,JOAO CLEITON ARAUJO DE MEDEIROS,3452.684,4761,1.39,98.1,0.667,17.86,17373.95585,14278.59682,31345.42
Canarana,5102702,canaranense,FABIO MARCOS PEREIRA DE FARIA,10882.379,21311,1.72,94.3,0.693,22.57,82155.56271,72356.62137,50430.17
Carlinda,5102793,carlindense,CARMELINDA LEAL MARTINES COELHO,2416.144,10413,4.59,98.7,0.665,20.69,32776.95221,26723.4745,15509.98
Castanheira,5102850,castanheirense,MABEL DE FATIMA MELANEZI ALMICI,3909.537,8695,2.11,96.8,0.665,8.85,26181.52559,22675.74245,16226.13
Chapada dos Guimarães,5103007,chapadense,THELMA PIMENTEL FIGUEIREDO DE OLIVEIRA,6450.543,19588,2.85,95.7,0.688,18.12,51099.97917,43135.76717,32950.22
Cláudia,5103056,claudiense,ALTAMIR KURTEN,3849.991,12052,2.86,97.5,0.699,7.41,45079.07003,38719.86242,32264.33
Cocalinho,5103106,cocalinhense,DALVA MARIA DE LIMA PERES,16516.319,5691,0.33,90.4,0.660,16.67,31491.03146,27693.81863,25801.78
Colíder,5103205,colidense,NOBORU TOMIYOSHI,3103.958,33224,9.95,97.2,0.713,20.62,85006.06354,74654.60001,27128.23
Colniza,5103254,colnizense,ESVANDIR ANTONIO MENDES,27946.126,37280,0.94,95.4,0.611,9.24,71915.04448,63549.24832,13256.05
Comodoro,5103304,comodorense,JEFERSON FERREIRA GOMES,21518.254,20513,0.84,96.1,0.689,12.89,69180.23752,57543.49636,28116.37
Confresa,5103353,confresense,RONIO CONDÃO BARROS MILHOMEM,5801.945,30347,4.33,97.2,0.668,11.49,75942.64384,62237.02957,24268.84
Conquista D'Oeste,5103361,conquistense d’oeste,MARIA LUCIA DE OLIVEIRA PORTO,2684.256,3973,1.27,98.6,0.718,16.95,23634.87841,18937.25038,22125.95
Cotriguaçu,5103379,cotriguaçuenses,JAIR KLASNER,9421.076,19254,1.58,87.9,0.601,7.04,44733.80778,36116.62686,10501.60
Cuiabá,5103403,cuiabano (papa peixe),EMANUEL PINHEIRO,3266.538,607153,157.66,95.8,0.785,11.52,2153678.7811,2043591.97273,37930.34
Curvelândia,5103437,curvelandenses,SIDINEI CUSTODIO DA SILVA,359.031,5192,13.53,99.7,0.690,15.87,17416.32031,12975.71857,22055.97
Denise,5103452,denisiense,ELIANE LINS DA SILVA,1278.502,9377,6.52,97.6,0.683,10.00,20378.68856,18895.92581,46645.93
Diamantino,5103502,diamantinense,EDUARDO CAPISTRANO DE OLIVEIRA,8191.677,21904,2.47,98.1,0.718,4.90,95669.46642,84475.11219,104092.58
Dom Aquino,5103601,dom-aquinense,JOSAIR JEREMIAS LOPES,2224.269,8199,3.71,99.2,0.690,12.20,26049.7727,23174.42182,42370.03
Feliz Natal,5103700,feliz-natalenses,RAFAEL PAVEI,11678.999,13857,0.95,96.6,0.692,15.71,41307.1903,34198.14901,28302.55
Figueirópolis D'Oeste,5103809,figueiropolense,EDUARDO FLAUSINO VILELA,888.106,3537,4.22,98.3,0.679,21.74,16287.82685,13681.74365,17211.74
Gaúcha do Norte,5103858,gauchenses-do-norte,VONEY RODRIGUES GOULART,16934.298,7513,0.37,81.5,0.615,6.33,34196.36616,30792.53705,49852.67
General Carneiro,5103908,general-carneirense,MARCELO DE AQUINO,3710.456,5487,1.32,97.2,0.670,28.85,25662.33994,23525.00388,46225.42
Glória D'Oeste,5103957,glorienses-do-oeste,PAULO REMÉDIO,833.612,3045,3.67,98,0.710,22.22,17349.51427,13705.78219,23742.42
Guarantã do Norte,5104104,guarantanhense,ÉRICO STEVAN GONÇALVES,4734.589,35497,6.80,97.8,0.703,10.60,91262.79333,78328.75193,19771.72
Guiratinga,5104203,guiratinguense,HUMBERTO DOMINGUES,5044.139,15035,2.75,99.2,0.705,9.43,42701.70985,36434.4649,25825.95
Indiavaí,5104500,indiavaiense,VALTEIR QUIRINO DOS SANTOS,592.639,2725,3.97,95.4,0.661,76.92,15945.39188,13757.24601,23080.27
Ipiranga do Norte,5104526,ipiranguense,PEDRO FERRONATTO,3466.697,7395,1.48,99.3,0.727,20.83,39770.01745,33350.2176,89906.55
Itanhangá,5104542,itanhangaense,EDU LAUDI PASCOSKI,2898.073,6587,1.82,97.1,0.710,37.04,21687.0878,17905.76871,33881.91
Itaúba,5104559,itaubense,VALCIR DONATO,4529.581,3901,1.01,98.3,0.690,29.41,30885.87703,26143.87489,43628.99
Itiquira,5104609,itiquirense,HUMBERTO BORTOLINI,8659.910,13163,1.32,96.6,0.693,11.49,74594.84416,64856.31894,91162.75
Jaciara,5104807,jaciarense,ABDULJABAR GALVIN MOHAMMAD,2396.589,27628,15.51,98.2,0.735,10.37,83834.33291,75348.63648,33695.83
Jangada,5104906,jangadense,EDERZIO DE JESUS MENDES,1296.747,8366,7.56,96.1,0.630,17.39,19288.98973,17964.66917,28100.03
Jauru,5105002,jauruense,PEDRO FERREIRA DE SOUZA,1358.411,9006,8.03,97.7,0.673,15.50,34807.47323,29886.28134,29144.31
Juara,5105101,juarense,LUCIANE BORBA AZOIA BEZERRA,22622.350,34815,1.45,96,0.682,13.68,107350.09555,93567.26257,23148.19
Juína,5105150,juinense,ALTIR ANTONIO PERUZZO,26189.915,40905,1.50,96.4,0.716,12.16,123325.82917,103068.38491,24006.82
Juruena,5105176,juruenense,SANDRA JOSY LOPES DE SOUZA,2778.986,15370,4.03,96.6,0.662,13.70,32295.50985,27266.37874,11933.08
Juscimeira,5105200,juscimeirense,MOISES DOS SANTOS,2720.481,11275,5.18,99.3,0.714,7.69,33976.62346,29755.8214,27593.86
Lambari D'Oeste,5105234,lambarienses,EDVALDO ALVES DOS SANTOS,1765.077,6059,3.08,95.4,0.627,13.33,23254.3701,20482.88701,30246.61
Lucas do Rio Verde,5105259,luquense,FLORI LUIZ BINOTTI,3675.221,63411,12.43,97.5,0.768,14.13,253806.92348,211260.52069,62202.25
Luciara,5105309,luciarense,FAUSTO AQUINO DE AZAMBUJA FILHO,4243.028,2099,0.52,98,0.676,33.33,13388.96003,11237.44501,13808.95
Vila Bela da Santíssima Trindade,5105507,vila-belense,WAGNER VICENTE DA SILVEIRA,13420.436,15983,1.08,93.9,0.645,21.20,65850.17206,55863.73845,27536.04
Marcelândia,5105580,marcelandense,ARNÓBIO VIEIRA DE ANDRADE,12273.552,10700,0.98,98.3,0.701,10.10,41007.48628,32797.59722,25172.86
Matupá,5105606,matupaense,VALTER MIOTTO FERREIRA,5219.025,16334,2.71,98.6,0.716,15.87,59633.91688,50932.72538,39015.20
Mirassol d'Oeste,5105622,miradolense,EUCLIDES DA SILVA PAIXÃO,1080.144,27536,23.50,96.6,0.704,9.80,64031.62733,55667.02089,23061.55
